,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19.0,10000.0,Free,0.0,Everyone,4.0
1,Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,500000.0,Free,0.0,Everyone,2.0
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000.0,Free,0.0,Everyone,4.0
3,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25.0,50000000.0,Free,0.0,Teen,4.0
4,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000.0,Free,0.0,Everyone,1.0
5,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000.0,Free,0.0,Everyone,2.0
6,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19.0,50000.0,Free,0.0,Everyone,4.0
7,Infinite Painter,ART_AND_DESIGN,4.1,36815,29.0,1000000.0,Free,0.0,Everyone,4.0
8,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000.0,Free,0.0,Everyone,3.0
9,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000.0,Free,0.0,Everyone,2.0
10,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28.0,1000000.0,Free,0.0,Everyone,4.0
11,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12.0,1000000.0,Free,0.0,Everyone,4.0
12,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20.0,10000000.0,Free,0.0,Teen,4.0
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21.0,100000.0,Free,0.0,Everyone,4.0
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37.0,100000.0,Free,0.0,Everyone,2.0
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000.0,Free,0.0,Everyone,4.0
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17.0,10000.0,Free,0.0,Everyone,2.0
18,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,5000000.0,Free,0.0,Everyone,4.0
19,ibis Paint X,ART_AND_DESIGN,4.6,224399,31.0,10000000.0,Free,0.0,Everyone,4.0
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14.0,100000.0,Free,0.0,Everyone,4.0
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,100000.0,Free,0.0,Everyone,4.0
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000.0,Free,0.0,Everyone 10+,4.0
